name,email,phone,contact_person,business_registration_no
好味便當坊,contact1@supplier.local,02-27110001,陳老闆,83510241
飽食餐盒屋,contact2@supplier.local,02-27110002,林經理,83510242
元氣廚房,contact3@supplier.local,02-27110003,黃小姐,83510243
職人食堂,contact4@supplier.local,02-27110004,王店長,83510244
每日鮮盒,contact5@supplier.local,02-27110005,李先生,83510245
安心餐坊,contact6@supplier.local,02-27110006,張小姐,83510246
橘子廚房,contact7@supplier.local,02-27110007,吳主任,83510247
和味食舖,contact8@supplier.local,02-27110008,蔡老闆,83510248
滿福餐館,contact9@supplier.local,02-27110009,楊經理,83510249
樂活便當站,contact10@supplier.local,02-27110010,劉小姐,83510250
