supplier_id,name,category,description,price,valid_from,valid_to
1,招牌滷雞腿飯,肉類,經典滷雞腿搭配三樣配菜,120,2026-04-01,2026-06-30
1,蒜香排骨飯,肉類,蒜香排骨配季節時蔬,125,2026-04-01,2026-06-30
1,鹽烤鯖魚飯,海鮮,鹽烤鯖魚配清爽小菜,130,2026-04-01,2026-06-30
1,香煎鮭魚餐,海鮮,香煎鮭魚搭配玉子燒,145,2026-04-01,2026-06-30
1,塔香三杯雞飯,肉類,九層塔三杯雞風味餐盒,130,2026-04-01,2026-06-30
1,黑胡椒牛柳飯,肉類,黑胡椒牛柳搭配時蔬,150,2026-04-01,2026-06-30
1,照燒豆腐蔬食,素食,照燒豆腐搭配四樣蔬菜,110,2026-04-01,2026-06-30
1,麻婆豆腐蔬食,素食,微辣麻婆豆腐配白飯,108,2026-04-01,2026-06-30
1,什錦時蔬便當,素食,多樣時蔬與菇類健康餐,105,2026-04-01,2026-06-30
1,日式炸蝦飯,海鮮,炸蝦主餐搭配日式醬汁,140,2026-04-01,2026-06-30
2,古早味雞排飯,肉類,酥炸雞排配滷蛋與青菜,118,2026-04-01,2026-06-30
2,蜜汁叉燒飯,肉類,港式蜜汁叉燒雙拼配菜,128,2026-04-01,2026-06-30
2,香酥魚排飯,海鮮,香酥魚排搭配塔塔醬,126,2026-04-01,2026-06-30
2,鮮蝦滑蛋飯,海鮮,鮮蝦與滑蛋組合便當,138,2026-04-01,2026-06-30
2,泡菜豬五花飯,肉類,韓式泡菜豬五花下飯組合,132,2026-04-01,2026-06-30
2,蔥爆牛肉飯,肉類,蔥爆牛肉與炒高麗菜,148,2026-04-01,2026-06-30
2,咖哩蔬菜飯,素食,日式咖哩與烤時蔬,112,2026-04-01,2026-06-30
2,香菇麵筋便當,素食,香菇麵筋與青江菜,106,2026-04-01,2026-06-30
2,番茄豆腐燴飯,素食,番茄豆腐燴飯清爽開胃,109,2026-04-01,2026-06-30
2,味噌鯛魚飯,海鮮,味噌鯛魚配玉米筍,136,2026-04-01,2026-06-30
3,脆皮雞腿飯,肉類,外酥內嫩雞腿搭配配菜,122,2026-04-01,2026-06-30
3,咖哩唐揚雞飯,肉類,咖哩醬搭配日式唐揚雞,128,2026-04-01,2026-06-30
3,蒲燒鯛魚飯,海鮮,蒲燒鯛魚與溏心蛋,132,2026-04-01,2026-06-30
3,椒鹽蝦仁飯,海鮮,椒鹽蝦仁搭配炒蛋,142,2026-04-01,2026-06-30
3,香草豬里肌飯,肉類,香草醃豬里肌與烤蔬菜,134,2026-04-01,2026-06-30
3,孜然牛肉飯,肉類,孜然牛肉風味濃郁,149,2026-04-01,2026-06-30
3,田園野菇便當,素食,野菇時蔬與糙米飯,111,2026-04-01,2026-06-30
3,韓式豆腐鍋飯,素食,韓式豆腐與泡菜風味,113,2026-04-01,2026-06-30
3,南瓜時蔬燉飯,素食,南瓜與時蔬奶香燉飯,115,2026-04-01,2026-06-30
3,香煎鱈魚飯,海鮮,鱈魚搭配檸檬奶油醬,146,2026-04-01,2026-06-30
4,蜜汁雞腿排飯,肉類,蜜汁雞腿排與玉子燒,121,2026-04-01,2026-06-30
4,香煎豬排飯,肉類,厚切豬排搭配胡麻醬,127,2026-04-01,2026-06-30
4,鮮蔬鮪魚飯,海鮮,鮪魚主餐配清爽時蔬,131,2026-04-01,2026-06-30
4,檸香鱸魚飯,海鮮,檸香鱸魚與地瓜泥,143,2026-04-01,2026-06-30
4,洋蔥燒肉飯,肉類,日式洋蔥燒肉口味,133,2026-04-01,2026-06-30
4,沙茶牛肉飯,肉類,沙茶牛肉搭配豆芽,147,2026-04-01,2026-06-30
4,紅燒豆包便當,素食,紅燒豆包與青菜豆干,107,2026-04-01,2026-06-30
4,蔬菜咖哩飯,素食,蔬菜咖哩搭配花椰菜,110,2026-04-01,2026-06-30
4,養生蓮子飯,素食,蓮子菇菇養生組合,114,2026-04-01,2026-06-30
4,鮮蝦排飯,海鮮,鮮蝦排配和風沙拉,139,2026-04-01,2026-06-30
5,蒜泥白肉飯,肉類,蒜泥白肉配滷蛋青菜,119,2026-04-01,2026-06-30
5,宮保雞丁飯,肉類,宮保雞丁微辣下飯,126,2026-04-01,2026-06-30
5,香烤秋刀魚飯,海鮮,秋刀魚搭配檸檬椒鹽,128,2026-04-01,2026-06-30
5,奶油鮭魚飯,海鮮,奶油鮭魚配時蔬玉米,144,2026-04-01,2026-06-30
5,壽喜燒豬肉飯,肉類,日式壽喜燒豬肉便當,131,2026-04-01,2026-06-30
5,黑椒骰子牛飯,肉類,黑椒骰子牛與馬鈴薯,152,2026-04-01,2026-06-30
5,豆皮壽司拼盤,素食,豆皮壽司搭配時蔬小菜,109,2026-04-01,2026-06-30
5,三色時蔬飯,素食,三色蔬菜與豆腐主食,104,2026-04-01,2026-06-30
5,香滷杏鮑菇飯,素食,杏鮑菇與豆干滷香組合,108,2026-04-01,2026-06-30
